AmbulanceR,BikeAge,BikeAlcFlg,BikeDir,BikeInjury,BikeSex,City,County,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashMonth,CrashType,CrashYear,DrvrAge,DrvrAlcFlg,DrvrInjury,DrvrSex,DrvrVehTyp,HitRun,Latitude,Longitude,RdConditio,SpeedLimit,TraffCntrl,Weather,Workzone,DrvrAgeImputedFlag,BikeAgeImputedFlag,MonthCode
Yes,91.0,No,With Traffic,C: Possible Injury,Female,None - Rural Crash,Buncombe,No,Wednesday,Motorist Overtaking Bicyclist,16.0,April,Motorist Overtaking - Undetected Bicyclist,2013,44.0,No,O: No Injury,Male,Pickup,No,35.55443745,-82.48031045,Dry,Unknown,Stop Sign,Cloudy,No,0,0,4
Yes,47.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,New Hanover,No,Tuesday,Motorist Overtaking Bicyclist,18.0,April,Motorist Overtaking - Misjudged Space,2013,91.0,No,O: No Injury,Male,Sport Utility,No,34.1072484,-77.89115474,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
No,11.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Onslow,No,Tuesday,Motorist Overtaking Bicyclist,19.0,April,Motorist Overtaking - Bicyclist Swerved,2013,39.0,No,O: No Injury,Male,Motorcycle,No,34.76118657,-77.30909709,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
Yes,30.0,No,With Traffic,C: Possible Injury,Male,Winston-Salem,Forsyth,No,Monday,Motorist Left Turn / Merge,21.0,April,Motorist Left Turn - Opposite Direction,2013,26.0,No,O: No Injury,Male,Passenger Car,No,36.0748559,-80.23975043,Dry,30 - 35  MPH,No Control Present,Cloudy,No,0,0,4
No,50.0,No,With Traffic,C: Possible Injury,Male,Fayetteville,Cumberland,No,Saturday,Motorist Overtaking Bicyclist,2.0,April,Motorist Overtaking - Other / Unknown,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.04475478,-79.04705646,Dry,40 - 45  MPH,No Control Present,Clear,No,1,0,4
No,45.0,No,With Traffic,C: Possible Injury,Male,Hendersonville,Henderson,No,Thursday,Motorist Failed to Yield - Sign-Controlled Intersection,20.0,April,Motorist Drive Through - Sign-Controlled Intersection,2013,31.0,No,O: No Injury,Female,Passenger Car,No,35.31398847,-82.46221996,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
No,16.0,No,With Traffic,C: Possible Injury,Male,Eden,Rockingham,No,Monday,Motorist Overtaking Bicyclist,19.0,April,Motorist Overtaking - Other / Unknown,2013,42.03850604944766,Unknown,Unknown Injury,Unknown,Passenger Car,Yes,36.49043666,-79.77696476,Dry,30 - 35  MPH,Stop Sign,Cloudy,No,1,0,4
No,56.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Brunswick,No,Tuesday,Motorist Overtaking Bicyclist,13.0,April,Motorist Overtaking - Other / Unknown,2013,21.0,No,O: No Injury,Female,Pickup,No,33.99194402,-78.03895202,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,4
Yes,51.0,Yes,With Traffic,B: Suspected Minor Injury,Male,Wilmington,New Hanover,Yes,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,17.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,62.0,No,O: No Injury,Female,Passenger Car,No,34.23578684,-77.94218132,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
Yes,19.0,No,With Traffic,B: Suspected Minor Injury,Male,Wilmington,New Hanover,No,Tuesday,Bicyclist Overtaking Motorist,12.0,April,Bicyclist Overtaking - Passing on Right,2013,25.0,No,O: No Injury,Male,Passenger Car,No,34.21382021,-77.88633674,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
Yes,19.0,No,With Traffic,B: Suspected Minor Injury,Male,Wilmington,New Hanover,No,Thursday,Motorist Overtaking Bicyclist,13.0,April,Motorist Overtaking - Other / Unknown,2013,38.0,No,O: No Injury,Male,Passenger Car,No,34.23610188,-77.87175468,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
No,20.0,No,With Traffic,O: No Injury,Male,Boone,Watauga,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,23.0,No,O: No Injury,Male,Passenger Car,No,36.2085,-81.673881,Dry,20 - 25  MPH,Stop Sign,Cloudy,No,0,0,4
Yes,19.0,No,With Traffic,B: Suspected Minor Injury,Male,Fairview,Union,No,Friday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,49.0,No,O: No Injury,Male,Sport Utility,No,35.110194,-80.567708,Dry,40 - 45  MPH,Stop Sign,Clear,No,0,0,4
Yes,64.0,Yes,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wilson,Yes,Sunday,Motorist Overtaking Bicyclist,10.0,April,Motorist Overtaking - Bicyclist Swerved,2013,35.0,No,O: No Injury,Female,Passenger Car,No,35.656003,-78.108453,Dry,50 - 55  MPH,No Control Present,Cloudy,No,0,0,4
Yes,30.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Wednesday,Motorist Left Turn / Merge,18.0,April,Motorist Left Turn - Opposite Direction,2013,54.0,No,O: No Injury,Male,Sport Utility,Yes,36.01687,-78.908202,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,4
Yes,16.0,No,Facing Traffic,A: Suspected Serious Injury,Male,Raleigh,Wake,No,Thursday,Motorist Failed to Yield - Sign-Controlled Intersection,16.0,April,Motorist Drive Out - Sign-Controlled Intersection,2013,35.0,No,O: No Injury,Female,Passenger Car,No,35.76048191,-78.63132592,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
Yes,16.0,No,Facing Traffic,C: Possible Injury,Male,Gastonia,Gaston,No,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,15.0,April,Motorist Drive Out - Sign-Controlled Intersection,2013,23.0,No,O: No Injury,Female,Passenger Car,No,35.260307,-81.19327,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
No,26.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,2.0,April,Motorist Drive Out - Sign-Controlled Intersection,2013,21.0,No,O: No Injury,Female,Passenger Car,No,35.778474,-78.645102,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
Yes,55.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Buncombe,No,Monday,Head-On,18.0,April,Head-On - Bicyclist,2013,60.0,No,O: No Injury,Male,Sport Utility,No,35.65812363,-82.53301511,Dry,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,4
Yes,6.0,No,Not Applicable,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Monday,Non-Roadway,19.0,April,Non-Roadway,2013,53.0,No,O: No Injury,Male,Passenger Car,No,35.236241,-80.769803,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,4
No,18.0,No,Not Applicable,C: Possible Injury,Male,Winston-Salem,Forsyth,No,Saturday,Non-Roadway,11.0,April,Non-Roadway,2013,36.0,No,O: No Injury,Male,Passenger Car,Yes,36.158264,-80.236356,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,4
Yes,27.0,Unknown,Facing Traffic,C: Possible Injury,Male,Lumberton,Robeson,No,Tuesday,Motorist Failed to Yield - Midblock,9.0,April,Motorist Drive Out - Commercial Driveway / Alley,2013,44.0,No,O: No Injury,Female,Sport Utility,No,34.64336185,-79.01017401,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,4
No,6.0,No,Not Applicable,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Tuesday,Non-Roadway,18.0,April,Non-Roadway,2013,24.0,No,O: No Injury,Male,Van,No,35.15555075,-80.72825437,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,4
Yes,9.0,No,With Traffic,C: Possible Injury,Male,High Point,Guilford,No,Tuesday,Backing Vehicle,18.0,April,Backing Vehicle,2013,45.0,No,O: No Injury,Female,Passenger Car,No,35.93431302,-79.99764,Dry,Unknown,No Control Present,Clear,No,0,0,4
Yes,17.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Pamlico,No,Thursday,Motorist Overtaking Bicyclist,14.0,March,Motorist Overtaking - Other / Unknown,2013,19.0,No,O: No Injury,Female,Passenger Car,No,35.14935015,-76.75382314,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,3
Yes,8.0,No,With Traffic,A: Suspected Serious Injury,Male,None - Rural Crash,Harnett,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,17.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,31.0,No,O: No Injury,Female,Sport Utility,No,35.24677788,-78.95073191,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,4
Yes,14.0,No,With Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,17.0,May,Bicyclist Ride Through - Sign-Controlled Intersection,2013,41.0,No,O: No Injury,Female,Sport Utility,No,35.19276944,-80.71152123,Dry,30 - 35  MPH,No Control Present,Cloudy,No,0,0,5
Yes,9.0,No,Unknown,B: Suspected Minor Injury,Male,Wilmington,New Hanover,No,Tuesday,Bicyclist Failed to Yield - Midblock,7.0,April,Bicyclist Ride Out - Other Midblock,2013,51.0,No,O: No Injury,Male,Passenger Car,No,34.19541053,-77.93655014,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
Yes,27.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Sunday,Bicyclist Overtaking Motorist,14.0,April,Bicyclist Overtaking - Passing on Right,2013,64.0,No,O: No Injury,Female,Passenger Car,No,35.78858629,-78.64882861,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,4
No,15.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Monday,Bicyclist Failed to Yield - Signalized Intersection,18.0,April,Bicyclist Ride Out - Signalized  Intersection,2013,30.0,No,O: No Injury,Male,Sport Utility,No,35.94867223,-78.96894681,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
Yes,18.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Mooresville,Iredell,No,Tuesday,Bicyclist Failed to Yield - Signalized Intersection,12.0,April,Bicyclist Ride Through - Signalized Intersection,2013,19.0,No,O: No Injury,Male,Sport Utility,No,35.58824562,-80.82813153,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,0,0,4
Yes,32.0,No,With Traffic,C: Possible Injury,Male,Greenville,Pitt,No,Friday,Backing Vehicle,14.0,April,Backing Vehicle,2013,46.0,No,O: No Injury,Male,Pickup,No,35.61234055,-77.3843415,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,4
Yes,5.0,No,With Traffic,B: Suspected Minor Injury,Male,Elizabeth City,Pasquotank,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,19.0,No,O: No Injury,Male,Passenger Car,No,36.2943937,-76.21431531,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,4
No,24.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Thursday,Motorist Left Turn / Merge,14.0,April,Motorist Left Turn - Same Direction,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Passenger Car,Yes,35.89034192,-78.62729346,Dry,40 - 45  MPH,No Control Present,Clear,No,1,0,4
No,4.0,No,With Traffic,O: No Injury,Male,Hendersonville,Henderson,No,Monday,Loss of Control / Turning Error,19.0,April,Bicyclist Turning Error - Right Turn,2013,50.0,No,O: No Injury,Female,Passenger Car,No,35.3239264,-82.45310711,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
Yes,11.0,No,Facing Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Davidson,No,Friday,Head-On,17.0,May,Head-On - Bicyclist,2013,29.0,No,O: No Injury,Female,Passenger Car,No,35.8679914,-80.25783467,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,5
Yes,58.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Jackson,No,Saturday,Motorist Left Turn / Merge,16.0,May,Motorist Left Turn - Opposite Direction,2013,49.0,No,O: No Injury,Male,Passenger Car,No,35.14903447,-83.14931583,Wet,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Rain,No,0,0,5
Yes,50.0,No,Not Applicable,B: Suspected Minor Injury,Male,None - Rural Crash,Surry,No,Friday,Non-Roadway,16.0,April,Non-Roadway,2013,41.0,No,O: No Injury,Male,Passenger Car,No,36.34122833,-80.46296183,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,4
No,17.0,No,Facing Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Friday,Motorist Failed to Yield - Midblock,8.0,May,Motorist Drive Out - Commercial Driveway / Alley,2013,30.0,No,O: No Injury,Male,Pickup,No,35.74666581,-78.64907397,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,5
Yes,5.0,No,Unknown,B: Suspected Minor Injury,Male,Gastonia,Gaston,No,Friday,Other / Unknown - Insufficient Details,18.0,April,Unknown Approach Paths,2013,41.0,No,O: No Injury,Female,Passenger Car,No,35.23219382,-81.13605572,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
Yes,39.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wake,No,Tuesday,Bicyclist Left Turn / Merge,15.0,May,Bicyclist Left Turn - Same Direction,2013,50.0,No,O: No Injury,Male,Passenger Car,No,35.830428,-78.45738,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,5
Yes,40.0,No,Facing Traffic,C: Possible Injury,Male,Fayetteville,Cumberland,No,Wednesday,Motorist Failed to Yield - Signalized Intersection,13.0,April,Motorist Drive Out - Right Turn on Red,2013,39.0,No,O: No Injury,Male,Passenger Car,No,35.075874,-78.897683,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,4
No,27.0,No,With Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Saturday,Motorist Overtaking Bicyclist,12.0,May,Motorist Overtaking - Other / Unknown,2013,61.0,No,O: No Injury,Male,Pickup,No,35.90041463,-78.65206545,Dry,Unknown,No Control Present,Clear,No,0,0,5
Yes,12.0,No,Not Applicable,C: Possible Injury,Female,None - Rural Crash,Wake,No,Thursday,Non-Roadway,17.0,May,Non-Roadway,2013,61.0,No,O: No Injury,Male,Van,No,35.67826005,-78.65780603,Dry,Unknown,No Control Present,Clear,No,0,0,5
Yes,13.0,No,Not Applicable,B: Suspected Minor Injury,Male,None - Rural Crash,Wilson,No,Friday,Bicyclist Failed to Yield - Midblock,16.0,May,Bicyclist Ride Out - Residential Driveway,2013,39.0,No,O: No Injury,Male,Passenger Car,No,35.73393995,-78.1011858,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,5
No,19.0,No,Not Applicable,B: Suspected Minor Injury,Female,Charlotte,Mecklenburg,No,Wednesday,Non-Roadway,18.0,May,Non-Roadway,2013,33.0,No,O: No Injury,Female,Passenger Car,No,35.18857587,-80.79122272,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,5
Yes,20.0,No,With Traffic,C: Possible Injury,Male,Concord,Cabarrus,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,15.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.41106068,-80.57782437,Dry,Unknown,Stop Sign,Cloudy,No,1,0,4
No,23.0,No,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,Yes,Wednesday,Motorist Right Turn / Merge,22.0,May,Motorist Right Turn - Same Direction,2013,42.0,Yes,O: No Injury,Male,Passenger Car,No,35.27467147,-80.95307178,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,5
No,34.0,Unknown,Facing Traffic,O: No Injury,Male,Hendersonville,Henderson,No,Tuesday,Motorist Failed to Yield - Sign-Controlled Intersection,17.0,April,Motorist Drive Out - Sign-Controlled Intersection,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Sport Utility,Yes,35.32569609,-82.45821332,Dry,20 - 25  MPH,Stop Sign,Clear,No,1,0,4
Yes,40.0,No,With Traffic,K: Killed,Male,Fayetteville,Cumberland,No,Tuesday,Head-On,12.0,April,Head-On - Motorist,2013,68.0,No,O: No Injury,Female,Passenger Car,No,35.086042,-78.883169,Dry,40 - 45  MPH,Stop Sign,Clear,No,0,0,4
Yes,26.0,No,With Traffic,O: No Injury,Male,Raleigh,Wake,No,Tuesday,Motorist Failed to Yield - Sign-Controlled Intersection,10.0,April,Motorist Drive Out - Sign-Controlled Intersection,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.78610494,-78.66265723,Dry,20 - 25  MPH,Yield Sign,Clear,No,1,0,4
Yes,8.0,No,Not Applicable,C: Possible Injury,Male,Greensboro,Guilford,No,Thursday,Non-Roadway,19.0,May,Non-Roadway,2013,44.0,No,O: No Injury,Male,Van,No,36.00912008,-79.79375796,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,5
Yes,25.0,No,With Traffic,C: Possible Injury,Male,Winston-Salem,Forsyth,No,Thursday,Motorist Overtaking Bicyclist,13.0,May,Motorist Overtaking - Other / Unknown,2013,22.0,No,O: No Injury,Female,Passenger Car,No,36.1013513,-80.26140174,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,5
Yes,46.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Pitt,No,Thursday,Motorist Overtaking Bicyclist,19.0,May,Motorist Overtaking - Misjudged Space,2013,20.0,No,O: No Injury,Female,Sport Utility,No,35.61036054,-77.56340136,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,5
Yes,59.0,Missing,Not Applicable,B: Suspected Minor Injury,Male,None - Rural Crash,Robeson,No,Saturday,Bicyclist Failed to Yield - Midblock,17.0,May,Bicyclist Ride Out - Residential Driveway,2013,39.0,No,O: No Injury,Male,Sport Utility,No,34.58271016,-78.94132644,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,5
Yes,11.0,No,Not Applicable,B: Suspected Minor Injury,Male,Greenville,Pitt,No,Saturday,Non-Roadway,17.0,May,Non-Roadway,2013,48.0,No,O: No Injury,Female,Passenger Car,No,35.60093782,-77.37221602,Dry,Unknown,No Control Present,Cloudy,No,0,0,5
Yes,8.0,No,With Traffic,B: Suspected Minor Injury,Female,Wilmington,New Hanover,No,Wednesday,Parallel Paths - Other Circumstances,18.0,April,Bicyclist Ride Out - Parallel Path,2013,25.0,No,O: No Injury,Female,Sport Utility,No,34.16942981,-77.90236524,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
No,55.0,No,With Traffic,C: Possible Injury,Female,Asheville,Buncombe,No,Tuesday,Motorist Overtaking Bicyclist,10.0,April,Motorist Overtaking - Misjudged Space,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.56281095,-82.5945217,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,4
Yes,26.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Brunswick,No,Saturday,Bicyclist Failed to Yield - Sign-Controlled Intersection,0.0,May,Bicyclist Ride Out - Sign-Controlled Intersection,2013,42.03850604944766,No,Unknown Injury,Unknown,Unknown,Yes,33.91909244,-78.57806262,Dry,50 - 55  MPH,Stop Sign,Clear,No,1,0,5
Yes,18.0,No,Not Applicable,B: Suspected Minor Injury,Male,None - Rural Crash,Duplin,No,Sunday,Bicyclist Failed to Yield - Midblock,16.0,May,Bicyclist Ride Out - Residential Driveway,2013,38.0,No,O: No Injury,Male,Passenger Car,No,35.11632853,-78.11535817,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,5
Yes,38.0,Missing,With Traffic,B: Suspected Minor Injury,Male,Huntersville,Mecklenburg,No,Thursday,Motorist Left Turn / Merge,17.0,May,Motorist Left Turn - Opposite Direction,2013,59.0,No,O: No Injury,Male,Passenger Car,No,35.41026578,-80.85364185,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,5
No,28.0,Yes,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,Yes,Monday,Crossing Paths - Other Circumstances,20.0,May,Signalized Intersection - Other / Unknown,2013,45.0,No,O: No Injury,Male,Passenger Car,No,35.2155574,-80.78092387,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,5
Yes,11.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,15.0,May,Motorist Drive Out - Sign-Controlled Intersection,2013,34.0,No,O: No Injury,Female,Passenger Car,No,35.87505424,-78.6448301,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,5
No,21.0,No,With Traffic,B: Suspected Minor Injury,Male,Greensboro,Guilford,No,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,9.0,April,Motorist Drive Through - Sign-Controlled Intersection,2013,22.0,No,O: No Injury,Male,Passenger Car,Yes,36.06830596,-79.81122436,Unknown,20 - 25  MPH,No Control Present,Clear,No,0,0,4
Yes,25.0,No,With Traffic,B: Suspected Minor Injury,Male,Asheville,Buncombe,No,Thursday,Motorist Left Turn / Merge,18.0,April,Motorist Left Turn - Opposite Direction,2013,64.0,No,O: No Injury,Female,Passenger Car,No,35.57840279,-82.59433286,Dry,20 - 25  MPH,Stop And Go Signal,Clear,No,0,0,4
No,13.0,No,Facing Traffic,Unknown Injury,Male,Clayton,Johnston,No,Monday,Parallel Paths - Other Circumstances,19.0,April,Parallel Paths - Other / Unknown,2013,45.0,No,O: No Injury,Female,Sport Utility,No,35.63778311,-78.47391418,Dry,40 - 45  MPH,No Control Present,Cloudy,No,0,0,4
Yes,45.0,No,With Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Thursday,Motorist Left Turn / Merge,13.0,May,Motorist Left Turn - Opposite Direction,2013,31.0,No,O: No Injury,Female,Passenger Car,No,35.78859485,-78.67165135,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,5
No,38.0,No,With Traffic,O: No Injury,Female,Durham,Durham,No,Tuesday,Motorist Overtaking Bicyclist,13.0,May,Motorist Overtaking - Other / Unknown,2013,42.03850604944766,Unknown,Unknown Injury,Unknown,Passenger Car,Yes,35.8889606,-78.84917961,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,1,0,5
Yes,53.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wake,No,Wednesday,Motorist Left Turn / Merge,18.0,May,Motorist Left Turn - Opposite Direction,2013,40.0,No,O: No Injury,Male,Passenger Car,No,35.96100673,-78.62581482,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,5
Yes,41.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Mcdowell,No,Saturday,Loss of Control / Turning Error,17.0,April,"Motorist Lost Control - Oversteering, Improper Braking, Speed",2013,20.0,No,A: Suspected Serious Injury,Male,Motorcycle,No,35.73373261,-82.10242469,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,4
Yes,5.0,No,Not Applicable,B: Suspected Minor Injury,Male,Atlantic Beach,Carteret,No,Sunday,Bicyclist Failed to Yield - Midblock,12.0,May,Bicyclist Ride Out - Residential Driveway,2013,58.0,No,O: No Injury,Male,Sport Utility,No,34.70127314,-76.77752692,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,5
Yes,52.0,No,With Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Wednesday,Motorist Left Turn / Merge,13.0,April,Motorist Left Turn - Opposite Direction,2013,49.0,No,O: No Injury,Male,Pickup,No,35.86324482,-78.58987766,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
No,7.0,No,Not Applicable,C: Possible Injury,Male,Raleigh,Wake,No,Tuesday,Non-Roadway,19.0,April,Non-Roadway,2013,48.0,No,O: No Injury,Female,Sport Utility,No,35.84237884,-78.59406838,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
Yes,58.0,Unknown,With Traffic,K: Killed,Male,Raleigh,Wake,No,Thursday,Motorist Left Turn / Merge,18.0,May,Motorist Left Turn - Opposite Direction,2013,81.0,Unknown,O: No Injury,Male,Passenger Car,No,35.82899297,-78.64854636,Dry,30 - 35  MPH,No Control Present,Cloudy,No,0,0,5
Yes,46.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Sunday,Motorist Overtaking Bicyclist,8.0,May,Motorist Overtaking - Other / Unknown,2013,47.0,No,O: No Injury,Female,Passenger Car,No,35.92731562,-78.82793924,Dry,40 - 45  MPH,No Control Present,Cloudy,No,0,0,5
Yes,51.0,No,Facing Traffic,O: No Injury,Male,Greenville,Pitt,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,13.0,May,Motorist Drive Out - Sign-Controlled Intersection,2013,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.59919617,-77.38302468,Dry,30 - 35  MPH,Stop Sign,Cloudy,No,1,0,5
No,20.0,No,With Traffic,C: Possible Injury,Male,Fayetteville,Cumberland,No,Tuesday,Motorist Overtaking Bicyclist,22.0,April,Motorist Overtaking - Undetected Bicyclist,2013,58.0,No,O: No Injury,Male,Pickup,No,34.99100104,-79.03157473,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
No,22.0,No,With Traffic,O: No Injury,Male,Greenville,Pitt,No,Friday,Bicyclist Left Turn / Merge,15.0,May,Bicyclist Left Turn - Opposite Direction,2013,18.0,No,O: No Injury,Female,Passenger Car,No,35.60905787,-77.36951906,Dry,5 - 15 MPH,Stop Sign,Clear,No,0,0,5
Yes,75.0,No,With Traffic,A: Suspected Serious Injury,Male,None - Rural Crash,Johnston,No,Thursday,Motorist Overtaking Bicyclist,16.0,May,Motorist Overtaking - Other / Unknown,2013,64.0,No,O: No Injury,Male,Pickup,No,35.73151845,-78.38883653,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,5
Yes,16.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Cumberland,Yes,Saturday,Motorist Overtaking Bicyclist,0.0,May,Motorist Overtaking - Other / Unknown,2013,25.0,Yes,O: No Injury,Male,Passenger Car,No,35.21856714,-78.94228786,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,5
Yes,44.0,No,With Traffic,B: Suspected Minor Injury,Female,Raleigh,Wake,No,Wednesday,Motorist Left Turn / Merge,18.0,May,Motorist Left Turn - Opposite Direction,2013,25.0,No,O: No Injury,Male,Passenger Car,No,35.78857501,-78.64533514,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,5
No,22.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Rutherford,No,Thursday,Motorist Left Turn / Merge,17.0,May,Motorist Left Turn - Opposite Direction,2013,66.0,No,O: No Injury,Male,Sport Utility,No,35.33392451,-81.8367899,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,5
Yes,36.0,No,Facing Traffic,O: No Injury,Male,Raleigh,Wake,No,Monday,Crossing Paths - Other Circumstances,18.0,May,Crossing Paths - Intersection - Other / Unknown,2013,50.0,No,O: No Injury,Male,Activity Bus,No,35.79288415,-78.61325071,Wet,20 - 25  MPH,Stop And Go Signal,Rain,No,0,0,5
